Name,Street Address,Zip Code,State,Phone,Fax,Email,Website,Category
IHK für die Pfalz,Ludwigsplatz 2-4,67059 Ludwigshafen,Rheinland-Pfalz,+49621   59041550,+49621  59041554,burkhard.kapp@pfalz.ihk24.de,http://www.pfalz.ihk24.de,IHK-Vertretungen
Solingen: Taxi Zentrale Solingen e.G.,Kronprinzenstr. 32a,42655 Solingen,Nordrhein-Westfalen,+49212 12 088,+4921227 24 67,info@taxizentrale-solingen.de,http://www.taxizentrale-solingen.de,Taxi-Zentralen
Eifelkreis Bitburg-Prüm,Trierer Str. 1,54634 Bitburg,Rheinland-Pfalz,+496561   151090,+496561  151012,stoos.klaus@bitburg-pruem.de,http://www.bitburg-pruem.de,Genehmigungsbehörden
Koblenz: Taxi Koblenz e.G.,Moselring 11,56073 Koblenz,Rheinland-Pfalz,+49261 33055,+49261 17473,zentrale@taxi-koblenz.org,http://www.taxi-koblenz.org,Taxi-Zentralen
Freie Hansestadt Bremen,Ansgaritorstraße 2,28195 Bremen,,+49421   3616621,office@bau.bremen.de,,http://www.bauumwelt.bremen.de,Genehmigungsbehörden
IHK Cottbus,Goethestraße 1,03046 Cottbus,Brandenburg,+49355 3651104,+49355 36526190,manuela.lenk@cottbus.ihk.de,http://www.cottbus.ihk.de,IHK-Vertretungen
Innung des Berliner Taxigewerbes e.V.,Persiusstraße 7,10245 Berlin,Berlin,+4930 23627201 ,+4930 23627203,info@taxiinnung.org,http://www.taxiinnung.org,Taxi-Verbände
Freie und Hansestadt Hamburg,Alter Steinweg 4,20459 Hamburg,Hamburg,+4940 428413754 bzw. -3757,+4940 427941350,taxenstelle@bwvi.hamburg.de,http://www.bwvi.hamburg.de,Genehmigungsbehörden
Enzkreis,Zähringerallee 3,75177 Pforzheim,Baden-Württemberg,+497231   3089305,+497231  3089650,Klaus.Behringer@enzkreis.de,http://www.enzkreis.de,Genehmigungsbehörden
Landesverband Bayerischer Taxi- und Mietwagenunternehmen e.V.,Engelhardstr. 6,81369 München,Bayern,+4989 773077,+4989 772462,info@taxi-bayern.de,http://www.taxi-bayern.de/,Taxi-Verbände
Gesamtverband Verkehrsgewerbe Niedersachsen (GVN) e. V., Lister Kirchweg 95,30177 Hannover,Niedersachsen,+49511 9626210,+49511 9626209,info@gvn.de,http://www.gvn.de,Taxi-Verbände
IHK Braunschweig,Brabandtstraße 11,38100 Braunschweig,Niedersachsen,+49531   4715228,+49531  4715180,christiane.trabitz@braunschweig.ihk.de,http://www.braunschweig.ihk.de,IHK-Vertretungen
Landeshauptstadt Potsdam,Friedrich-Ebert-Str. 79/81,14469 Potsdam,Brandenburg,+49331   2893263,+49331  2893263,Strassenverkehr@Rathaus.Potsdam.de,http://www.potsdam.de,Genehmigungsbehörden
IHK Rheinhessen,Schillerplatz 7,55116 Mainz,Rheinland-Pfalz,+496131   2621301,+496131  2622301,marion.moderer@rheinhessen.ihk24.de,http://www.rheinhessen.ihk24.de,IHK-Vertretungen
IHK Neubrandenburg,Katharinenstrasse 48,17033 Neubrandenburg,Mecklenburg-Vorpommern,+49395 5597309,+49395  5597513,sven.mueller@neubrandenburg.ihk.de,http://www.neubrandenburg.ihk.de,IHK-Vertretungen
IHK Bodensee-Oberschwaben,Lindenstraße 2,88250 Weingarten,Baden-Württemberg,+49751   409129,+49751  40955 129,rossbach@weingarten.ihk.de,http://www.weingarten.ihk.de,IHK-Vertretungen
IHK Berlin,Fasanenstraße 85,10623 Berlin,Berlin,+4930   315 10  415,+4930  315 10  102,kad@berlin.ihk.de,http://www.ihk-berlin.de,IHK-Vertretungen
IHK Bonn/Rhein-Sieg,Bonner Talweg 17,53113 Bonn,Nordrhein-Westfalen,+49228   2284141,+49228  2284225,schneider@bonn.ihk.de,http://www.ihk-bonn.de,IHK-Vertretungen
"Fachvereinigung Personenverkehr, Verband für das Personenverkehrsgewerbe Landesverband Bremen e.V.",Jakobistr. 20,28195 Bremen,,+49421 140155,+49421 170031,fvp@taxi-bremen.de,,Taxi-Verbände
Handelskammer Hamburg,Adolphsplatz 1,20457 Hamburg,Hamburg,+4940   36 138364,+4940  36 138313,Kristina.Bohnenstengel@hk24.de,http://www.hk24.de,IHK-Vertretungen
"Fachvereinigung Personenverkehr Bremerhaven e.V., Verband für das Personenverkehrsgewerbe",Postfach 10 03 07,27503 Bremerhaven,,+494743 9499590,+494743 9499593,fachvereinigung-bhv@gmx.de,,Taxi-Verbände
Deutscher Industrie- und Handelskammertag (DIHK),Breite Straße 29,10178 Berlin,Berlin,+4930   20 30 82 110,+4930  20 30 82 111,thiele.patrick@berlin.dihk.de,http://www.dihk.de,IHK-Vertretungen
Fachvereinigung Personenverkehr Nordrhein Taxi-Mietwagen e.V.,Siemensstr. 1,40789 Monheim,Nordrhein-Westfalen,+492173 95990,+492173 959925,Info@FP-Nordrhein.de,http://www.eurotaximesse.de,Taxi-Verbände
IHK Aschaffenburg,Kerschensteinerstraße 9,63741 Aschaffenburg,Bayern,+496021 880137,+496021  88022161,dang@aschaffenburg.ihk.de,http://www.aschaffenburg.ihk.de,IHK-Vertretungen
Bundesverband Taxi und Mietwagen e.V.,Dorotheenstraße 37,10117 Berlin,Berlin,+49030 212223535,info@bundesverband.taxi,,https://bundesverband.taxi,Taxi-Verbände
IHK Aachen,Theaterstraße 6 - 10,52062 Aachen,Nordrhein-Westfalen,+49241   44 60224,+49241  44 60149,verk@aachen.ihk.de,http://www.aachen.ihk.de,IHK-Vertretungen
Handelskammer Bremen - IHK für Bremen und Bremerhaven,Am Markt 13,28195 Bremen,,+49421   36 37275,+49421  36 37274,albertzard@handelskammer-bremen.de,http://www.handelskammer-bremen.de,IHK-Vertretungen
Behörde für Stadtentwicklung und Umwelt,Stadthausbrücke 8,20355 Hamburg,Hamburg,+4940   428 40  31 86,+4940  428 40  20 10,,http://www.bsu.hamburg.de,Mitglieder des BLFA
Berliner Taxivereinigung e.V.,Grunewaldstraße 70,10783 Berlin,Berlin,+4930 21458881,+4930 21458882,info@berliner-taxi-vereinigung.de,http://www.berliner-taxi-vereinigung.de/,Taxi-Verbände
Ennepe-Ruhr-Kreis,Hattinger Str. 2 a,58332 Schwelm,Nordrhein-Westfalen,+492336 4441137,+492336 9314137,d.tubbenthal@en-kreis.de,http://www.enkreis.de,Genehmigungsbehörden
Burgenlandkreis,Schönburger Str. 41,06618 Naumburg,Sachsen-Anhalt,+493445   731515,+493445  731199,strassenverkehrsamt@blk.de,http://www.burgenlandkreis.de,Genehmigungsbehörden
Altmarkkreis Salzwedel,Karl-Marx-Straße 32,29410 Salzwedel,Sachsen-Anhalt,+493901   840811,+493901  25 07 9,Karin.Schulze@altmarkkreis-salzwedel.de,http://www.altmarkkreis-salzwedel.de,Genehmigungsbehörden
Remscheid:  Funktaxi-Taxi-Vereinigung Remscheid,Lenneper Straße 2,42855 Remscheid,Nordrhein-Westfalen,+492191 388725,+492191388725,info@taxi-remscheid.de,http://www.taxi-remscheid.de,Taxi-Zentralen
Dortmund: Taxi Dortmund e.G.,Königswall 42,44137 Dortmund,Nordrhein-Westfalen,+49231 90600,+49231 144458,info@taxi-dortmund.de,http://www.taxi-dortmund.de,Taxi-Zentralen
Marl: TAXI Jakubiak,Otto-Hue-Str. 10,45772 Marl,Nordrhein-Westfalen,+492365 44400,+492365 413361,order@taxi-jak.de,http://www.taxi-jak.de,Taxi-Zentralen
Bochum: Taxi Bochum e.G.,Ehrenfeldstr. 34,44789 Bochum,Nordrhein-Westfalen,+49234 3330010,+492343330040,buero@taxi-bochum.de,http://www.taxi-bochum.de,Taxi-Zentralen
Essen: Taxi Essen e.G., Bottroper Straße 298a,45356 Essen,Nordrhein-Westfalen,+49201 86654,+49201661688,verwaltung@taxiessen.de,http://www.taxiessen.de,Taxi-Zentralen
Hagen: Taxi Hagen e.G.,Elberfelder Str. 89,58095 Hagen,Nordrhein-Westfalen,+492331 125566,vorstand@taxihagen.de,,,Taxi-Zentralen
IHK Bremerhaven,Friedrich-Ebert-Straße 6,27570 Bremerhaven,Bremen - Freie Hansestadt,+49421 3637271,+49471  9246090,verkehr@handelskammer-bremen.de,http://www.bremerhaven.ihk.de,IHK-Vertretungen
Gelsenkirchen: Taxi Gelsen Interessengemeinschaft,Husemannstr. 59,45879 Gelsenkirchen,Nordrhein-Westfalen,+4920915214,mail@taxi-gelsen.de,,http://www.taxi-gelsen.de,Taxi-Zentralen
Bodenseekreis,Glärnischstr. 1-3,88045 Friedrichshafen,Baden-Württemberg,+497541 2045396,+497541 2047396,harald.baur@bodenseekreis.de,http://www.bodenseekreis.de,Genehmigungsbehörden
Duisburg: Taxi-Funktaxi-Zentrale e.G. Duisburg,Im Schlenk 78,47055 Duisburg,Nordrhein-Westfalen,+49203 425555 ,+49203 4566199,verwaltung@taxi-duisburg.net,http://www.taxi-duisburg.net,Taxi-Zentralen
Krefeld: Krefelder Funktaxi-Besitzerverein e. V.,Moltkeplatz 1,47799 Krefeld,Nordrhein-Westfalen,+492151 22222,+492151 26 000,info@taxiruf-krefeld.de,http://www.taxiruf-krefeld.de,Taxi-Zentralen
Halle: Taxi & Mietwagengenossenschaft Halle/S. eG.,Bergschenkenweg 55a,06118 Halle/Saale,Sachsen-Anhalt,+49345 5252540,+49345 5252566,post@taxi-halle.de,http://www.taxi-halle.de/,Taxi-Zentralen
Düsseldorf: RHEIN-TAXI Datenfunkzentrale 212121 GmbH,Königsberger Str. 100,40231 Düsseldorf,Nordrhein-Westfalen,+49211 21000,+49211 2100150,info@rhein-taxi.de,http://www.rhein-taxi.de,Taxi-Zentralen
Zwickau: Funktaxi Zwickau und Umgebung e.G.,Bosestr. 1,08056 Zwickau,Sachsen,+49375 27 77 716,+4937527 77 713,vorstand@funktaxi-zwickau.de,http://www.funktaxi-zwickau.de,Taxi-Zentralen
IHK Magdeburg,Alter Markt 8,39104 Magdeburg,Sachsen-Anhalt,+49391 5693143,+49391 5693333 143,bluhm@magdeburg.ihk.de,http://www.magdeburg.ihk24.de,IHK-Vertretungen
IHK Halle-Dessau,Franckestraße 5,06110 Halle,Sachsen-Anhalt,+49345   2126261,+49345  212644 261,arost@halle.ihk.de,http://www.halle.ihk.de,IHK-Vertretungen
Bayerisches Staatsministerium für Verkehr,80525 München,Bayern,,+4989   21 62  23 06,+4989  21 62  28 18,poststelle@stmwivt.bayern.de,,Mitglieder des BLFA
Ministerium für Verkehr Schleswig-Holstein,Postfach 71 28,24171 Kiel,Schleswig-Holstein,+49431   988  45 55,+49431  988  48 11,karin.himstedt@wimi.lands.de,,Mitglieder des BLFA
Ministerium für Verkehr Sachsen-Anhalt,Postfach 36 25,39011 Magdeburg,Sachsen-Anhalt,+49391   567  74 89,+49391  567  75 69,grothmann@mbv.lsa-net.de,,Mitglieder des BLFA
Ministerium für Infrastruktur und Raumordnung,Henning-vonTresckow-Str. 2-8,14467 Potsdam,Brandenburg,+49331 866 8270,+49331 866 8366,jobst-hinrich.ubbelohde@mir.brandenburg.de,http://www.mir.brandenburg.de,Mitglieder des BLFA
Hamburg: Hansa-Funktaxi eG,Am Schiffbeker Berg 6a,22111 Hamburg,Hamburg,+49 40 2111 950,+49 40 21117 341,info@taxi211211.de,http://www.taxi211211.de,Taxi-Zentralen
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung",Kaiser-Friedrich-Ring 75,65185 Wiesbaden,Hessen,+49611 8152363,+49611 815492363,patrick.kirsch@wirtschaft.hessen.de,https://wirtschaft.hessen.de//,Mitglieder des BLFA
"Ministerium des Innern, für Sport und Infrastruktur Referat Schienenverkehr, ÖPNV",Schillerplatz 3-5,55116 Mainz,Rheinland-Pfalz,+496131 162762,+496131 16172762,michael.schue@isim.rlp.de,http://www.isim.rlp.de,Mitglieder des BLFA
"Ministerium für Bauen, Wohnen, Stadtentwicklung und Verkehr des Landes Nordrhein-Westfalen",Elisabethstraße 5 - 11,40217 Düsseldorf,Nordrhein-Westfalen,+49211  8372509,,,,Mitglieder des BLFA
Bundesministerium für Verkehr,Postfach 20 01 00,53170 Bonn,,,,,,Mitglieder des BLFA
Kiel: Vineta Verkehrsgesellschaft mbH,Segeberger Landstr. 2b,24145 Kiel,Schleswig-Holstein,+49431 7757575,+49431 77110,willkommen@vineta.net,https://www.vineta.net/impressum/,Taxi-Zentralen
Braunschweig: Braunschweiger Taxenzentrale GmbH & Co. KG,Saarbrückener Str. 246,38116 Braunschweig,Niedersachsen,+49531 55555,+49531 504818,info@taxi-5991.de,http://www.taxi-5991.de,Taxi-Zentralen
Bremen: Taxi-Ruf Bremen 14 0 14,Jakobistr. 20,28195 Bremen,,+49421 140155,+49421 170031,info@taxi-ruf-bremen.de,http://www.taxi-ruf-bremen.de/,Taxi-Zentralen
Berlin: Quality Taxi Vermittlungs GmbH,Persiusstr. 7,10245 Berlin,Berlin,+4930 263000,+4930 26300199,info@qualitytaxi.de,http://www.qualitytaxi.de,Taxi-Zentralen
Minden: MITAX UG,Bahnstr. 1,32423 Minden,Nordrhein-Westfalen,+49571 37807,info@taxizentrale-minden.de,,https://taxizentrale-minden.de/,Taxi-Zentralen
Bielefeld: Bielefelder Funk-Taxi-Zentrale e.G. (BIETA),Eckendorfer Str. 91-93,33609 Bielefeld,Nordrhein-Westfalen,+49521 9711222,+49521 9711212,info@bieta.de,http://www.bieta.de,Taxi-Zentralen
Innenministerium Baden-Württemberg,Postfach 10 24 43,70020 Stuttgart,Baden-Württemberg,+49711   231  5760,johann-christoph.kleinschmidt@im.bwl.de,,,Mitglieder des BLFA
Bielefeld: Funk-Taxi-Zentrale Hansa e.G.,Treppenstr. 3,33647 Bielefeld,Nordrhein-Westfalen,+49521 444366,+49521 444370,hansa3@web.de,https://www.hansa-taxen.de/,Taxi-Zentralen
Freital: Taxi- und Mietwagengenossenschaft Freital eG,Dresdner Str. 124,01705 Freital,Sachsen,+49351 6491692,info@taxi-freital.de,,https://www.taxi-freital.de/,Taxi-Zentralen
Düsseldorf: Taxi Düsseldorf e.G.,Kölner Str. 356,40227 Düsseldorf,Nordrhein-Westfalen,+49211 77760,+49211 777622,info@taxi-duesseldorf.com,https://www.taxi-duesseldorf.com/,Taxi-Zentralen
Straubing: Stadttaxi GmbH,Bahnhofplatz 2,94315 Straubing,Bayern,+49 (0) 9421 989860,+499421 180816,service@stadttaxi.de,http://stadttaxi.de/,Taxi-Zentralen
Wolfenbüttel: Altstadt Taxi OHG,Breite Herzogstr. 11,38300 Wolfenbüttel,Niedersachsen,+495331 77777,+495331 29636,info@altstadt-taxi.de,https://wf-77777.de,Taxi-Zentralen
Leipzig:  Löwentaxi Taxigenossenschaft Leipzig e.G,Jahnallee 11,04109 Leipzig,Sachsen,+49341 9822210,+493419822250,vorstand@loewentaxi.de,http://www.loewentaxi.de,Taxi-Zentralen
IHK Kiel,Bergstraße 2,24103 Kiel,Schleswig-Holstein,+49431 5194207,+49431 5194557,sachkunde@kiel.ihk.de,http://www.ihk-schleswig-holstein.de,IHK-Vertretungen
IHK Lübeck,Fackenburger Allee 2, 23554 Lübeck,Schleswig-Holstein,+49451 6006174,+49451 60064174,napoleonova-wilhelm@ihk-luebeck.de,http://www.ihk-schleswig-holstein.de,IHK-Vertretungen
Hansestadt Lübeck,Meesenring 7,23566 Lübeck,Schleswig-Holstein,+49451   1223320,+49451  122951 3320,mischa.jelen@luebeck.de,http://www.luebeck.de,Genehmigungsbehörden
IHK Flensburg,Heinrichstraße 28 - 34,24937 Flensburg,Schleswig-Holstein,+49461  8069377,service@flensburg.ihk.de,,http://www.flensburg.ihk24.de,IHK-Vertretungen
München: Taxi München e.G.,Engelhardstr. 6,81369 München,Bayern,089 77 30 77,089 77 24 62,info@tmeg.de,http://www.taxi-muenchen.de,Taxi-Zentralen
Karlsruhe: Taxi-Funk-Zentrale Karlsruhe e.G.,Auf der Breit 9b,76227 Karlsruhe,Baden-Württemberg,+49 72 1944 144,+49 72 19441 430,info@taxi-ka.de,http://www.taxi-zentrale-karlsruhe.de,Taxi-Zentralen
Freising: Taxi Funk Zentrale Freising GbR,Alte Poststr. 30A,85356 Freising,Bayern,+49 8161 3666,+498161 4965662,info@taxi-zentrale-freising.de,https://www.taxi-zentrale-freising.de/,Taxi-Zentralen
Stuttgart: Taxi-Auto-Zentrale Stuttgart eG,Karlsbader Str. 42,70372 Stuttgart,Baden-Württemberg,+49 71 15510 000,+49 71 1552 389,taz@taxi-auto-zentrale.de,http://www.taxi-auto-zentrale.de/,Taxi-Zentralen
München: IsarFunk Taxizentrale GmbH & Co. KG,Rosenheimer Str. 139/ XII,81671 München,Bayern,(089) 450 540,+498949001086,info@isarfunk.de,http://www.isarfunk.de,Taxi-Zentralen
Berlin: TaxiFunk Berlin TZB GmbH,Persiusstr. 7,10245 Berlin,Berlin,+4930 6902720,+4930 6902719,info@taxibaer.de,http://www.taxibaer.de,Taxi-Zentralen
Mannheim: Taxi Mannheim 2 18 18 eG,Keplerstraße 28,68165 Mannheim,Baden-Württemberg,+49 62 121 810,+49 62 121 819,info@taxi-mannheim.de,http://www.taxi-mannheim.de,Taxi-Zentralen
Heidelberg: Auto-Funk-Taxi-Vermittlungszentrale Heidelberg eG,Im Bosseldorn 9,69126 Heidelberg,Baden-Württemberg,+49 62 21302 030,+49 62 21315 316,info@taxiheidelberg.de,http://www.taxizentrale-heidelberg.de/,Taxi-Zentralen
Frankfurt: Main Taxi Frankfurt,Schulstraße 37,60594 Frankfurt am Main,Hessen,+4969 490198,+4969 95021093,kontakt@main-taxi-frankfurt.de,http://www.main-taxi-frankfurt.de,Taxi-Zentralen
Mannheim: Taxi-Zentrale Mannheim eG,Gabelsberger Str. 9,68165 Mannheim,Baden-Württemberg,+49 62 14006 780,+49 62 121819,info@taxi-mannheim.de,http://www.taximannheim.de,Taxi-Zentralen
Görlitz: Taxi-Innung GÖRLITZ e. V.,Bahnhofstr. 74,02826 Görlitz,Sachsen,+493581 400837,,,,Taxi-Zentralen
Nürnberg: Taxi-Zentrale Nürnberg eG,Andernacher Straße 33,90411 Nürnberg,Bayern,(0911) 19 410,(0911)952 10-20,info@taxi-nuernberg.de,http://www.taxi-nuernberg.de/,Taxi-Zentralen
Hannover: Hallo Taxi 3811 GmbH,Isernhagener Str. 20,30161 Hannover,Niedersachsen,+49511 3811,+49511 343441,info@taxi-hannover.de,http://www.taxi-hannover.de,Taxi-Zentralen
Dresden: Funktaxi Dresden /  Dresdner Taxigenossenschaft eG,Bodenbacher Str. 122,01277 Dresden,Sachsen,+49351   211 210,+49351  211 21 90,info@taxi-dresden.com,http://www.taxi-dresden.com,Taxi-Zentralen
Hameln: Funk-Taxen-Zentrale Thiedke GmbH,Forster Weg 11-13,31785 Hameln,Niedersachsen,+495151 29199,,,,Taxi-Zentralen
Kaiserslautern: Taxi-Zentrale KL GmbH,Mainzer Str. 25-29,67657 Kaiserslautern,Rheinland-Pfalz,+49 631 3667723,+49 0631 60727,info@kl-taxi.de,http://www.kl-taxi.de,Taxi-Zentralen
Berlin: CityFunk Berlin,Persiusstr. 7,10245 Berlin,Berlin,+4930 6902720,+4930 2132648,info@cityfunk.de,http://www.cityfunk.de,Taxi-Zentralen
Fürth: Taxizentrale Fürth e.G.,Simonstr. 19,90763 Fürth,Bayern,+49911774930,taxi-fuerth@nefkom.net,,https://taxizentrale-fuerth.de/,Taxi-Zentralen
Freiberg: Funk-Taxi-Service GmbH,Roter Weg 39,09599 Freiberg,Sachsen,+493731 26270,+493731262727,info@funktaxi-freiberg.de,http://www.funktaxi-freiberg.de,Taxi-Zentralen
Lindau: Taxi Ring Lindau,Ladestr. 45,88131 Lindau,Bayern,08382 6006,+4983821455,webmaster@taxi-ring-lindau.de,,Taxi-Zentralen
Rosenheim: Funktaxi-Zentrale Edelweiss e.G.,Klepperstr. 11,83026 Rosenheim,Bayern,+49 (0) 8031 35 99 35,+49 (0) 8031 35 99 60,verwaltung@taxi-edelweiss.de,http://www.taxi-edelweiss.de,Taxi-Zentralen
Tübingen: Taxi-Zentral-Ruf Tübingen,Wilhelmstr. 3,72074 Tübingen,Baden-Württemberg,+49 70 71920 555,info@taxi-zentrale-tuebingen.de,,https://taxi-zentrale-tuebingen.de/,Taxi-Zentralen
Esslingen: Taxizentrale Esslingen eG,Kollwitzstr. 1 ,73728 Esslingen,Baden-Württemberg,+49 71 1356 666,+49 71 13508 752,info@taxizentraleesslingen.de,http://www.taxizentraleesslingen.de,Taxi-Zentralen
Neu-Isenburg: Taxi Isenburg GmbH,Schleussnerstr. 58b,63263 Neu-Isenburg,Hessen,+496102 786020,+496102 786021,info@taxi-isenburg.de,http://www.taxi-isenburg.de,Taxi-Zentralen
